cve_ent,entidad,periodo,pob_ing_lbm_miles,pob_tot_miles,porc_pob_ing_lbm
0,Estados Unidos Mexicanos,2016,21412,122637,17.5
1,Aguascalientes,2016,125,1310,9.6
2,Baja California,2016,190,3549,5.4
3,Baja California Sur,2016,49,794,6.1
4,Campeche,2016,146,925,15.8
5,Coahuila de Zaragoza,2016,265,3006,8.8
6,Colima,2016,59,739,8
7,Chiapas,2016,2662,5337,49.9
8,Chihuahua,2016,420,3757,11.2
9,Ciudad de MÃ©xico,2016,665,8822,7.5
10,Durango,2016,229,1787,12.8
11,Guanajuato,2016,916,5878,15.6
12,Guerrero,2016,1265,3594,35.2
13,Hidalgo,2016,533,2921,18.2
14,Jalisco,2016,620,8049,7.7
15,MÃ©xico,2016,2890,17191,16.8
16,MichoacÃ¡n de Ocampo,2016,974,4637,21
17,Morelos,2016,320,1949,16.4
18,Nayarit,2016,206,1253,16.4
19,Nuevo LeÃ³n,2016,160,5179,3.1
20,Oaxaca,2016,1626,4044,40.2
21,Puebla,2016,1450,6272,23.1
22,QuerÃ©taro,2016,203,2043,10
23,Quintana Roo,2016,151,1633,9.3
24,San Luis PotosÃ­,2016,569,2785,20.4
25,Sinaloa,2016,263,3018,8.7
26,Sonora,2016,224,2984,7.5
27,Tabasco,2016,473,2415,19.6
28,Tamaulipas,2016,434,3595,12.1
29,Tlaxcala,2016,255,1301,19.6
30,Veracruz de Ignacio de la Llave,2016,2483,8123,30.6
31,YucatÃ¡n,2016,254,2154,11.8
32,Zacatecas,2016,334,1592,21
